melbourne_housing
Suburb,Rooms,Type,Price,SellerG,Date,Postcode,Bathroom,Landsize,BuildingArea,Lattitude,Longtitude
Abbotsford,2,h,1480000,Biggin,3/12/2016,3067,1,202,,-37.7996,144.9984
Abbotsford,2,h,1035000,Biggin,4/2/2016,3067,1,156,79,-37.8079,144.9934
Abbotsford,3,h,1465000,Biggin,4/3/2017,3067,2,134,150,-37.8093,144.9944
Abbotsford,3,h,850000,Biggin,4/3/2017,3067,2,94,,-37.7969,144.9969
Abbotsford,4,h,1600000,Nelson,4/6/2016,3067,1,120,142,-37.8072,144.9941
Abbotsford,2,h,941000,Jellis,7/5/2016,3067,1,181,,-37.8041,144.9953
Abbotsford,3,h,1876000,Nelson,7/5/2016,3067,2,245,210,-37.8024,144.9993
Abbotsford,2,h,1636000,Nelson,8/10/2016,3067,1,256,107,-37.806,144.9954
Abbotsford,1,u,300000,Biggin,8/10/2016,3067,1,0,,-37.8008,144.9973
Abbotsford,2,h,1097000,Biggin,8/10/2016,3067,1,220,75,-37.801,144.9989
Abbotsford,2,u,700000,Jellis,12/11/2016,3067,2,0,,-37.811,145.0067
Abbotsford,3,h,1350000,Nelson,12/11/2016,3067,2,214,190,-37.8085,144.9964
Abbotsford,2,u,750000,Biggin,12/11/2016,3067,2,0,94,-37.8078,144.9965
Abbotsford,2,h,1172500,Biggin,13/08/2016,3067,1,195,,-37.8084,144.9973
Abbotsford,1,u,441000,Greg,14/05/2016,3067,1,0,,-37.8016,144.9988
Abbotsford,2,h,1310000,Jellis,15/10/2016,3067,1,238,97,-37.809,144.9976
Abbotsford,3,h,1200000,Jellis,16/07/2016,3067,2,113,110,-37.8056,144.993
Abbotsford,3,h,1176500,LITTLE,16/07/2016,3067,1,138,105,-37.8021,144.9965
Abbotsford,3,h,955000,Collins,17/09/2016,3067,1,183,,-37.8022,144.9975
Abbotsford,2,h,890000,Biggin,17/09/2016,3067,1,150,73,-37.8011,145.0004
Abbotsford,4,h,1330000,Kay,18/03/2017,3067,2,780,135,-37.8073,144.9952
Abbotsford,3,t,900000,Beller,18/03/2017,3067,2,0,,-37.8093,144.9959
Abbotsford,3,u,1090000,Jellis,18/03/2017,3067,2,4290,27,-37.8078,144.9965
Abbotsford,2,u,500000,Collins,18/06/2016,3067,1,0,60,-37.8015,144.9972
Abbotsford,2,h,1100000,Biggin,18/06/2016,3067,2,124,135,-37.8079,144.9977
Abbotsford,2,h,1315000,Marshall,19/11/2016,3067,1,147,85,-37.808,144.994
Abbotsford,1,u,426000,Greg,22/08/2016,3067,1,0,,-37.8016,144.9988
Abbotsford,3,h,1447500,Nelson,22/08/2016,3067,3,166,174,-37.8017,145.0001
Abbotsford,1,u,457000,Jellis,22/08/2016,3067,1,0,50,-37.8078,144.9965
Abbotsford,2,h,1135000,Nelson,22/08/2016,3067,2,98,128,-37.8005,144.9952
Abbotsford,4,h,1542000,Collins,24/09/2016,3067,3,0,,-37.7994,144.9965
Abbotsford,3,h,1290000,Biggin,25/02/2017,3067,2,147,18,-37.805,144.9943
Abbotsford,3,h,1290000,Biggin,25/02/2017,3067,1,168,124,-37.8007,144.9958
Abbotsford,1,u,470000,Nelson,26/07/2016,3067,1,0,50,-37.8055,144.9961
Abbotsford,2,h,1180000,Jellis,27/11/2016,3067,1,162,91,-37.8016,144.9956
Abbotsford,3,h,1195000,Jellis,27/11/2016,3067,2,120,128,-37.8022,144.9954
Abbotsford,2,h,1012500,Nelson,28/05/2016,3067,1,182,82,-37.8021,144.9976
Abbotsford,2,h,1030000,Biggin,30/07/2016,3067,1,172,81,-37.8086,144.9946
Airport West,3,t,840000,Nelson,3/9/2016,3042,2,303,225,-37.718,144.878
Airport West,3,h,730000,Nelson,3/12/2016,3042,2,0,145,-37.7203,144.8755
Airport West,3,h,770000,Nelson,4/3/2017,3042,2,0,145,-37.7203,144.8755
Airport West,2,h,603000,Nelson,4/3/2017,3042,1,272,84,-37.7294,144.888
Airport West,3,t,700000,Brad,4/3/2017,3042,2,239,134,-37.7218,144.8837
Airport West,3,h,600000,Maddison,4/3/2017,3042,1,290,116,-37.7273,144.8744
Airport West,2,u,500000,Barry,4/3/2017,3042,1,168,86,-37.7215,144.8864
Airport West,3,h,720000,Barry,6/8/2016,3042,1,620,,-37.7173,144.8872
Airport West,4,h,785000,Considine,6/8/2016,3042,1,597,127,-37.7259,144.8792
Airport West,6,h,725000,Barry,7/5/2016,3042,3,976,186,-37.7239,144.8735
Airport West,2,t,450000,Barry,7/5/2016,3042,1,110,90,-37.7216,144.871
Airport West,2,u,515000,Barry,7/11/2016,3042,1,141,73,-37.7298,144.8883
Airport West,2,u,530000,Nelson,10/9/2016,3042,1,120,94,-37.7234,144.8792
Airport West,3,h,895000,Rendina,10/9/2016,3042,1,1063,133,-37.7249,144.8728
Airport West,3,h,805000,Nelson,10/12/2016,3042,1,0,105,-37.7217,144.8783
Airport West,3,u,752000,Nelson,11/2/2017,3042,1,265,130,-37.7302,144.8855
Airport West,2,u,440000,Barry,13/08/2016,3042,1,192,,-37.7177,144.8787
Airport West,5,h,755000,Propertyau,14/05/2016,3042,2,596,,-37.7248,144.8699
Airport West,3,t,700000,Brad,15/10/2016,3042,2,165,133,-37.727,144.887
Airport West,3,h,830000,Barry,16/04/2016,3042,1,971,113,-37.7186,144.876
Airport West,2,u,462500,Barry,16/07/2016,3042,1,164,,-37.7218,144.8863
Airport West,3,h,670000,Barry,16/07/2016,3042,2,657,,-37.7269,144.8742
Airport West,2,h,675000,Barry,16/07/2016,3042,1,612,100,-37.7187,144.8765
Airport West,3,h,1042000,Nelson,16/07/2016,3042,2,612,174,-37.7173,144.8796
Airport West,3,h,910000,McDonald,17/09/2016,3042,1,775,,-37.7231,144.8835
Airport West,4,h,773000,Brad,17/09/2016,3042,3,531,309,-37.7263,144.8679
Airport West,3,h,810000,Barry,18/03/2017,3042,3,555,192,-37.7285,144.8694
Airport West,3,h,715000,Rendina,18/03/2017,3042,2,422,126,-37.7164,144.8792
Airport West,3,h,790000,Nelson,18/03/2017,3042,1,614,,-37.7194,144.8827
Airport West,3,t,540000,Nelson,18/06/2016,3042,2,161,101,-37.7231,144.8802
Airport West,3,t,825000,Barry,19/11/2016,3042,2,293,102,-37.72,144.8776
Airport West,3,h,685000,Barry,22/05/2016,3042,1,579,113,-37.7226,144.8733
Airport West,3,h,805000,Barry,22/08/2016,3042,1,623,,-37.7184,144.882
Airport West,2,u,510000,Nelson,22/08/2016,3042,1,141,76,-37.7202,144.8797
Airport West,3,h,612000,Nelson,22/08/2016,3042,2,212,,-37.7181,144.8824
Airport West,3,h,662000,Brad,23/04/2016,3042,1,612,,-37.7169,144.8815
Airport West,4,h,978000,Nelson,24/09/2016,3042,3,532,,-37.7263,144.869
Airport West,3,h,720000,Nelson,25/02/2017,3042,1,585,,-37.72,144.878
Airport West,4,h,765000,Prof.,27/11/2016,3042,1,509,,-37.7261,144.8785
Airport West,4,h,900000,Harcourts,27/11/2016,3042,2,628,146,-37.7256,144.8739
Albert Park,2,h,1275000,hockingstuart,3/9/2016,3206,1,120,82,-37.8459,144.9555
Albert Park,2,h,1455000,Thomson,3/9/2016,3206,1,159,,-37.845,144.9538
Albert Park,3,h,2850000,Buxton,4/3/2017,3206,2,211,198,-37.8481,144.9499
Albert Park,3,h,1850000,Greg,4/3/2017,3206,2,128,133,-37.8452,144.9488
Albert Park,2,h,1436000,RT,4/3/2017,3206,1,130,81,-37.8431,144.9565
Albert Park,2,h,1110000,Marshall,6/8/2016,3206,1,147,,-37.8444,144.9484
Albert Park,2,h,1550000,Sotheby's,7/5/2016,3206,1,167,,-37.8405,144.9521
Albert Park,4,h,2300000,Marshall,7/5/2016,3206,2,153,180,-37.8447,144.9523
Albert Park,3,t,1550000,Marshall,7/11/2016,3206,2,718,,-37.8443,144.9598
Albert Park,3,h,1800000,Greg,7/11/2016,3206,2,132,159,-37.8415,144.952
Albert Park,2,h,2120000,Greg,10/9/2016,3206,1,199,107,-37.8422,144.9554
Albert Park,3,h,1800000,Cayzer,10/9/2016,3206,1,253,,-37.8443,144.9579
Albert Park,3,h,1800000,Marshall,10/9/2016,3206,2,90,122,-37.8421,144.9571
Albert Park,2,h,1810000,Greg,10/12/2016,3206,1,240,,-37.8379,144.9539
Albert Park,3,h,2615000,Cayzer,10/12/2016,3206,2,177,181,-37.8415,144.9585
Albert Park,5,h,2100000,Greg,10/12/2016,3206,2,237,,-37.8436,144.9557
Albert Park,3,h,1300000,hockingstuart,10/12/2016,3206,1,129,,-37.8422,144.949
Albert Park,3,h,1370000,Greg,12/6/2016,3206,2,0,85,-37.8451,144.9511
Albert Park,2,h,1000000,Cayzer,12/11/2016,3206,1,288,,-37.8407,144.9523
Albert Park,3,h,2575000,Greg,15/10/2016,3206,2,228,,-37.8445,144.9501
Albert Park,2,h,1322500,Greg,15/10/2016,3206,1,149,98,-37.8443,144.9481
Albert Park,2,h,1562500,Greg,15/10/2016,3206,1,141,83,-37.8424,144.9562
Albert Park,3,h,2000000,RT,16/04/2016,3206,2,211,147,-37.847,144.9575
Albert Park,3,h,1900000,Greg,18/03/2017,3206,1,209,,-37.8468,144.9546
Albert Park,3,h,3010000,Greg,18/03/2017,3206,2,147,146,-37.8473,144.9551
Albert Park,4,h,2800000,Cayzer,18/06/2016,3206,3,327,254,-37.8467,144.9475
Albert Park,2,u,647000,Greg,22/05/2016,3206,1,0,,-37.846,144.9542
Albert Park,3,h,2100000,Marshall,23/04/2016,3206,1,120,123,-37.8427,144.9546
Albert Park,3,h,2000000,Marshall,24/09/2016,3206,1,238,131,-37.8461,144.9528
Albert Park,1,u,442500,Marshall,25/02/2017,3206,1,0,34,-37.8421,144.9517
Albert Park,4,h,4735000,Marshall,25/02/2017,3206,2,330,207,-37.8477,144.9558
Albert Park,2,h,1340000,Greg,25/02/2017,3206,1,136,,-37.846,144.9517
Albert Park,3,h,1801000,hockingstuart,25/02/2017,3206,1,202,,-37.8429,144.9493
Albert Park,3,h,1532000,Chisholm,26/07/2016,3206,3,0,,-37.8415,144.9585
Albert Park,3,h,3755000,Greg,26/07/2016,3206,2,325,,-37.8413,144.95
